CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",6537005,7066746,7054210,6902172,7828693,8772870
34620,"Muncie, IN (Metropolitan Statistical Area)",4030138,4185237,4302975,4301995,4634566,5102380
34740,"Muskegon, MI (Metropolitan Statistical Area)",5986522,6240574,6358734,6166445,6833407,7408317
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",17915888,18744737,19594650,20386231,22603005,25132236
34900,"Napa, CA (Metropolitan Statistical Area)",10996519,11212869,11445191,11148064,12648671,13165651
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",18972217,20048142,21312393,21811324,25500712,28083165
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",130549166,137012094,145039374,146722122,166955750,187781084
35100,"New Bern, NC (Metropolitan Statistical Area)",5397061,5412641,5757548,5732840,6314641,6619428
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",49698505,51723181,53660793,53226837,57360075,61456416
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",78225064,82364023,83313345,75060730,84589493,94030686
